idParroquiaSalud;idParroquias;idSalud;Parr_ubi
246;170;113;Antonio José Holguén  (Santa Lucía)
247;171;113;Cusubamba
248;172;113;Mulliquindil (Santa Ana)
249;173;113;Pansaleo
250;171;110;Cusubamba
251;146;113;San Miguel
252;174;8;Saquisilí
253;175;113;Chugchillán
254;176;113;Isinliví (Isinliví)
255;163;113;La Maná
256;147;113;Latacunga
257;177;113;Ramón Campaña
258;178;113;Pinllopata
259;145;113;Pujilí
260;164;110;Pilaló
261;179;113;Guangaje
262;180;113;Canchagua
263;147;56;Latacunga
264;147;54;Latacunga
265;147;52;Latacunga
266;143;39;La Matriz
267;147;114;Latacunga
268;157;49;Tanicuchí
269;147;49;Latacunga
270;181;38;Lizarzaburu
271;182;79;Veloz
272;181;75;Lizarzaburu
273;;96;Velasco
274;;77;Velasco
275;184;66;Alausí
276;185;66;Villa La Unión (Cajabamba)
277;186;66;Chunchi
278;187;66;Guamote
279;181;72;Lizarzaburu
280;188;8;Riobamba
281;189;113;Chambo
282;190;113;Licto
283;191;113;Flores
284;192;113;Punín
285;193;113;San Luis
286;;113;Quimiag
287;22;113;San Juan
288;188;113;Riobamba
289;196;113;Calpi
290;197;113;Pungalá
291;189;110;Chambo
292;193;110;San Luis
293;198;110;Cubijíes
294;199;113;Tixán
295;200;113;Sibambe
296;201;113;Achupallas
297;202;113;Huigra
298;203;113;Cumandá
299;204;113;Guasuntos
300;205;8;Guano
301;206;113;Penipe
302;207;113;San Andrés
303;208;113;San Isidro de Patulú
304;205;113;Guano
305;209;113;Matus
306;206;110;Penipe
307;207;110;San Andrés
308;210;113;Columbe
309;211;113;Juan de Velasco (Pangor)
310;212;113;Pallatanga
311;213;113;Palmira
312;214;113;Cebadas
313;215;113;Capzol
314;216;113;Gonzol
315;217;113;Ilapo
316;218;113;San Gerardo de Pacaicaguán
317;219;113;Cacha (Cab. en Machángara)
318;192;110;Punín
319;220;113;Multitud
320;221;113;Compud
321;222;113;Llagos
322;187;110;Guamote
323;223;113;Santiago de Quito (Cab. en San Antonio de Quito)
324;185;113;Villa La Unión (Cajabamba)
325;210;110;Columbe
326;224;110;Sevilla
327;190;110;Licto
328;188;49;Riobamba
329;184;51;Alausí
330;188;53;Riobamba
331;188;114;Riobamba
332;185;114;Villa La Unión (Cajabamba)
333;186;51;Chunchi
334;225;75;Machala
335;225;79;Machala
336;226;77;Pasaje
337;227;66;Arenillas
338;226;66;Pasaje
339;228;66;Piñas
340;229;66;Santa Rosa
341;229;90;Santa Rosa
342;230;66;Zaruma
343;229;38;Santa Rosa
344;225;38;Machala
345;225;101;Machala
346;231;79;El Guabo
347;232;113;Tendales (Cab. en Puerto Tendales)
348;233;113;Barbones (Sucre)
349;225;113;Machala
350;234;113;Chilla
351;235;113;Uzhcurrumi
352;236;113;Buenavista
353;237;113;La Peaña
354;238;113;Progreso
355;239;113;Casacay
356;240;113;Marcabelí
357;241;113;Moromoro (Cab. en El Vado)
358;242;113;Balsas
359;243;113;Capiro (Cab. en La Capilla de Capiro)
360;244;113;La Bocana
361;245;113;San Roque (Ambrosio Maldonado)
362;246;113;Saracay
363;247;113;Victoria
364;248;113;Chacras
365;249;113;Palmales
366;250;113;Ayapamba
367;251;113;Guizhaguiña
368;252;20;Paccha
369;253;113;Huertas
370;254;113;Malvas
371;255;8;Portovelo
372;256;113;Salatí
373;257;110;Curtincapa
374;229;113;Santa Rosa
375;258;113;Bellavista
376;259;113;San Antonio
377;260;113;La Avanzada
378;226;113;Pasaje
379;226;110;Pasaje
380;261;113;Cañaquemada
381;262;113;Guanazán
382;263;113;Jambelí
383;264;113;Bellamaría
384;225;8;Machala
385;128;110;San Isidro
386;266;113;Huaquillas
387;267;113;Piedras
388;268;113;Salvias
389;225;20;Machala
390;269;113;La Iberia
391;270;113;La Victoria
392;225;54;Machala
393;225;52;Machala
394;225;27;Machala
395;230;6;Zaruma
396;255;111;Portovelo
397;229;6;Santa Rosa
398;260;17;La Avanzada
399;226;111;Pasaje
400;226;17;Pasaje
401;227;17;Arenillas
402;228;6;Piñas
403;237;114;La Peaña
404;229;120;Santa Rosa
405;225;120;Machala
406;271;75;Esmeraldas
407;271;79;Esmeraldas
408;272;66;Valdez (Limones)
409;273;66;San Lorenzo
410;274;66;Muisne
411;275;66;Rosa Zárate (Quinindé)
412;271;38;Esmeraldas
413;276;66;Borbon
414;271;8;Esmeraldas
415;277;8;Atacames
416;278;113;Rocafuerte
417;275;113;Rosa Zárate (Quinindé)
418;279;113;Chinca
419;280;113;La Unión
420;281;113;Majua
421;282;8;Rioverde
422;283;113;San Mateo
423;284;113;Tabiazo
424;285;113;Tachina
